Genus	Species	Marker	Sequence_Count	genDiv_mx	genDiv_mn	match_name
Astragalus	Astragalus_onobrychis	rpl16	67	0.00912098583979269	0.00292851074909609	Astragalus_onobrychis_rpl16txt
Astragalus	Astragalus_sulcatus	matK	7	0.00522193211488251	0.00332235138222264	Astragalus_sulcatus_matKtxt
Astragalus	Astragalus_tribuloides	rbcL	5	0.00663784584980237	0.00221261528326746	Astragalus_tribuloides_rbcLtxt
Athyrium	Athyrium_distentifolium	rbcL	5	0.00020746887966805	0	Athyrium_distentifolium_rbcLtxt
Athyrium	Athyrium_filix-femina	rbcL	19	0.0861613382975596	0.00562839085442995	Athyrium_filixfemina_rbcLtxt
Atocion	Atocion_compactum	rps16	4	0.00250002648990615	0.00163069196764794	Atocion_compactum_rps16txt
Atractylis	Atractylis_cancellata	rbcL	4	0.015414524585471	0.00510855683269476	Atractylis_cancellata_rbcLtxt
Atraphaxis	Atraphaxis_decipiens	trnLtrnF	6	0.000953302787428102	0.000190294957183635	Atraphaxis_decipiens_trnLtrnFtxt
Atraphaxis	Atraphaxis_frutescens	trnLtrnF	4	0.0125080282594733	0.0054487226900494	Atraphaxis_frutescens_trnLtrnFtxt
Atriplex	Atriplex_halimus	58SrRNA	10	0.0241259137801471	0.00741658596004662	Atriplex_halimus_58SrRNAtxt
Atropa	Atropa_belladonna	rbcL	10	0.00191966141535957	0.000200924251557163	Atropa_belladonna_rbcLtxt
Aubrieta	Aubrieta_columnae	trnLtrnF	4	0.00609225413402959	0.00429231808469864	Aubrieta_columnae_trnLtrnFtxt
Aubrieta	Aubrieta_deltoidea	trnLtrnF	7	0.0161009573542211	0.010443864229765	Aubrieta_deltoidea_trnLtrnFtxt
