Genus	Species	Marker	Sequence_Count
Allium	subhirsutum	rbcL.txt	4
Allium	subvillosum	5.8SrRNA.txt	8
Allium	subvillosum	ETS.txt	8
Allium	subvillosum	ITS.txt	8
Allium	subvillosum	ITS1.txt	8
Allium	subvillosum	ITS2.txt	8
Allium	subvillosum	rps16.txt	7
Allium	subvillosum	trnL-trnF.txt	7
Allium	trifoliatum	5.8SrRNA.txt	8
Allium	trifoliatum	ITS.txt	8
Allium	trifoliatum	ITS1.txt	8
Allium	trifoliatum	ITS2.txt	8
Allium	trifoliatum	atpB-rbcL.txt	5
Allium	trifoliatum	rbcL.txt	5
Allium	trifoliatum	rps16.txt	4
Allium	trifoliatum	trnL-trnF.txt	4
Allium	triquetrum	5.8SrRNA.txt	4
Allium	triquetrum	ITS.txt	4
Allium	triquetrum	ITS1.txt	4
Allium	triquetrum	ITS2.txt	4
Allium	triquetrum	atpB-rbcL.txt	4
Allium	triquetrum	rbcL.txt	5
Allium	triquetrum	trnL-trnF.txt	4
Allium	tulipifolium	5.8SrRNA.txt	6
Allium	tulipifolium	ITS.txt	6
Allium	tulipifolium	ITS1.txt	6
Allium	tulipifolium	ITS2.txt	6
Allium	tulipifolium	rps16.txt	19
Allium	ursinum	5.8SrRNA.txt	7
Allium	ursinum	ETS.txt	24
Allium	ursinum	ITS.txt	7
Allium	ursinum	ITS1.txt	7
Allium	ursinum	ITS2.txt	7
Allium	ursinum	atpB-rbcL.txt	4
Allium	ursinum	rbcL.txt	9
Allium	ursinum	trnL-trnF.txt	13
Allium	victorialis	5.8SrRNA.txt	5
Allium	victorialis	ITS.txt	5
Allium	victorialis	ITS1.txt	5
Allium	victorialis	ITS2.txt	5
Allium	victorialis	atpB-rbcL.txt	4
Allium	victorialis	rbcL.txt	5
Allium	victorialis	rps16.txt	5
Allium	vineale	rbcL.txt	4
Alnus	alnobetula	matK.txt	18
Alnus	alnobetula	psbA-trnH.txt	8
Alnus	alnobetula	rbcL.txt	23
Alnus	glutinosa	matK.txt	13
Alnus	glutinosa	psbA-trnH.txt	6
Alnus	glutinosa	rbcL.txt	19
Alnus	incana	matK.txt	9
Alnus	incana	psbA-trnH.txt	8
Alnus	incana	rbcL.txt	13
Alopecurus	aequalis	matK.txt	16
Alopecurus	aequalis	rbcL.txt	22
Alopecurus	geniculatus	matK.txt	7
Alopecurus	geniculatus	rbcL.txt	10
Alopecurus	gerardii	matK.txt	5
Alopecurus	gerardii	rpoB.txt	4
Alopecurus	gerardii	trnL-trnF.txt	4
Alopecurus	magellanicus	matK.txt	23
Alopecurus	magellanicus	rbcL.txt	23
Alopecurus	magellanicus	trnL-trnF.txt	4
Alopecurus	myosuroides	WGS.txt	7
Alopecurus	myosuroides	matK.txt	6
Alopecurus	myosuroides	rbcL.txt	5
Alopecurus	pratensis	matK.txt	12
Alopecurus	pratensis	rbcL.txt	16
Althaea	officinalis	matK.txt	4
Althaea	officinalis	rbcL.txt	7
Alyssum	alyssoides	rpoB.txt	22
Alyssum	austrodalmaticum	CHS.txt	102
Alyssum	collinum	rpoB.txt	6
Alyssum	dasycarpum	matK.txt	4
Alyssum	dasycarpum	rbcL.txt	4
Alyssum	dasycarpum	trnL-trnF.txt	5
Alyssum	desertorum	matK.txt	5
Alyssum	desertorum	rbcL.txt	5
Alyssum	desertorum	trnL-trnF.txt	5
Alyssum	fastigiatum	CHS.txt	14
